member_type	newcol	categories	latitude	longitude	members
division	regionbr	Brazil-North	-4.58985	-57.391623	Acre, Amapa, Amazonas, Amazonas BR, Para, Pará, Rondônia, Rondonia, Roraima, Tocantins, North
division	regionbr	Brazil-Northeast	-8.717633	-41.342772	Alagoas, Bahia, Ceara, Ceará, Maranhao, Maranhão, Paraiba, Paraíba, Piauí, Piaui, Pernambuco, Rio Grande do Norte, Sergipe, Northeast
division	regionbr	Brazil-Center West	-18.039469	-53.07199	Goias, Goiás, Mato Grosso, Mato Grosso do Sul, Distrito Federal
division	regionbr	Brazil-Southeast	-22.406285	-44.809388	Espirito Santo, Espírito Santo, Minas Gerais, Rio de Janeiro, Sao Paulo, São Paulo
division	regionbr	Brazil-South	-27.719514	-51.308815	Parana, Paraná, Santa Catarina, Rio Grande do Sul
division	regionbr	Brazil-Unknown	-12.860966	-50.511161	Unknown
